customer_id,signup_date,last_login,annual_fee,subscription_type,payment_method,account_age,number_of_logins,total_spent,num_tickets_raised,avg_response_time,satisfaction_score,country,device,usage_hours_per_month,churn
D5QcTD,5/17/2024,5/11/2024,79.99,Premium,CreditCard,18,656,625.52,9,20.9,3,France,Tablet,10,false
5U7t08,5/23/2024,12/12/2023,29.99,Basic,CreditCard,34,446,2652.42,1,25.5,4,UK,Desktop,62,false
F198rB,11/6/2023,4/15/2024,29.99,Basic,UPI,30,819,4754.67,2,34.1,2,UK,Desktop,138,true
uZquzw,12/17/2023,9/10/2023,29.99,Basic,CreditCard,17,384,4203.04,19,35.7,2,Australia,Tablet,116,false
2Ex82V,10/28/2023,6/21/2024,29.99,Basic,DebitCard,8,374,3603.43,3,18.2,4,China,Mobile,96,true
N31Ci7,4/17/2024,11/7/2023,29.99,Basic,CreditCard,10,128,4807.12,13,13.7,6,Canada,Tablet,56,false
XdBL6N,6/5/2024,7/2/2023,59.99,Gold,DebitCard,4,52,2370.48,13,33.8,7,Canada,Mobile,151,false
x6v22X,5/31/2024,5/28/2024,29.99,Basic,CreditCard,17,415,4618.55,18,16.2,5,UK,Mobile,155,true
Y4uAk9,4/27/2024,12/1/2023,79.99,Premium,DebitCard,29,976,1202.75,1,29.4,3,UK,Desktop,196,false
tY0y2u,12/9/2023,12/12/2023,29.99,Basic,UPI,33,176,800.03,8,2.3,3,Brazil,Mobile,160,true
JjEvVq,10/1/2023,5/26/2024,79.99,Premium,DebitCard,36,310,3134.57,3,31.2,9,Taiwan,Desktop,69,false
RaT9el,5/25/2024,6/10/2024,59.99,Gold,DebitCard,10,662,4607.6,11,41.2,8,Australia,Mobile,174,false
1aWvcf,4/19/2024,5/26/2024,59.99,Gold,CreditCard,32,158,1711.93,20,42.1,10,Canada,Mobile,79,true
zmQ555,4/25/2024,11/10/2023,29.99,Basic,DebitCard,4,10,3399.32,4,48.0,3,UK,Desktop,103,false
O4L6t9,3/23/2024,4/16/2024,29.99,Basic,UPI,1,799,1319.75,2,28.5,7,Brazil,Mobile,38,true
Vg3RYm,3/15/2024,7/16/2023,79.99,Premium,UPI,13,702,2542.92,16,34.0,6,UK,Mobile,64,false
J209s2,5/6/2024,7/23/2023,59.99,Gold,CreditCard,20,549,2805.5,6,30.5,7,Japan,Desktop,50,true
v5LLM8,7/23/2023,8/10/2023,29.99,Basic,DebitCard,16,684,4585.63,12,22.6,6,Germany,Tablet,50,false
Uu7Kul,4/4/2024,8/5/2023,29.99,Basic,CreditCard,29,607,909.14,2,5.5,3,Brazil,Mobile,48,true
Xn9GB0,1/28/2024,3/31/2024,29.99,Basic,DebitCard,33,582,133.32,7,14.7,10,Taiwan,Mobile,175,true
1COhEK,10/11/2023,9/16/2023,29.99,Basic,CreditCard,26,7,3581.72,8,19.7,2,USA,Desktop,11,true
ee6r34,1/29/2024,9/16/2023,29.99,Basic,UPI,10,296,3863.43,9,17.4,1,China,Mobile,146,false
pZmvG0,11/8/2023,11/10/2023,29.99,Basic,DebitCard,11,132,3715.54,12,5.8,2,Australia,Mobile,177,false
0PsMoj,7/1/2023,9/27/2023,59.99,Gold,DebitCard,29,254,1644.74,15,37.9,2,Germany,Desktop,191,false
d6skiM,2/2/2024,12/14/2023,79.99,Premium,DebitCard,10,48,4648.06,6,2.1,8,France,Tablet,4,true
hiXWX2,10/16/2023,5/27/2024,79.99,Premium,CreditCard,18,607,1727.66,5,45.9,2,Canada,Tablet,101,true
Or8TeH,11/10/2023,4/26/2024,29.99,Basic,CreditCard,12,986,823.9,0,31.7,4,Taiwan,Tablet,157,true
GwW8zx,5/9/2024,12/11/2023,79.99,Premium,DebitCard,16,37,614.34,4,34.6,9,France,Mobile,136,true
1NROU8,5/29/2024,5/18/2024,79.99,Premium,CreditCard,15,500,2901.14,9,4.4,1,Brazil,Tablet,189,false
r7AXm5,5/12/2024,6/19/2024,79.99,Premium,DebitCard,34,332,406.26,11,34.7,4,China,Mobile,92,true
2rS4Ts,10/1/2023,1/8/2024,29.99,Basic,DebitCard,27,477,3038.29,15,44.7,10,USA,Tablet,118,false
uf3DYq,1/6/2024,7/19/2023,59.99,Gold,CreditCard,30,647,1849.13,3,2.6,9,China,Desktop,64,true
ebED35,8/10/2023,9/6/2023,29.99,Basic,CreditCard,33,325,769.73,19,31.8,1,Canada,Mobile,101,false
FsCnA3,2/17/2024,5/16/2024,29.99,Basic,DebitCard,26,506,330.2,7,37.4,9,UK,Mobile,177,false
3Q4R3E,6/7/2024,4/29/2024,79.99,Premium,DebitCard,31,599,3352.83,1,29.1,4,Canada,Mobile,132,true
9PUD0J,8/20/2023,3/13/2024,79.99,Premium,CreditCard,2,87,4143.75,10,12.7,4,UK,Mobile,188,false
CWXEwV,2/5/2024,9/11/2023,79.99,Premium,CreditCard,29,435,201.19,13,17.5,2,Germany,Mobile,181,false
34LgV7,2/10/2024,3/21/2024,59.99,Gold,CreditCard,23,811,1701.96,18,40.4,5,Japan,Desktop,145,false
dxNA8J,8/16/2023,12/17/2023,29.99,Basic,DebitCard,16,583,2032.95,16,46.0,4,USA,Tablet,151,false
WWP8cM,5/26/2024,10/20/2023,59.99,Gold,UPI,15,10,4336.68,17,32.9,6,France,Tablet,26,true
0Jg672,11/23/2023,1/5/2024,29.99,Basic,DebitCard,35,446,3857.56,3,17.1,7,USA,Desktop,177,false
P9x419,6/8/2024,6/3/2024,29.99,Basic,UPI,30,911,1407.74,4,45.5,6,USA,Tablet,55,true
367n5v,1/5/2024,7/7/2023,29.99,Basic,UPI,25,903,3858.04,7,36.4,5,Germany,Tablet,64,true
B89KEp,7/2/2023,1/30/2024,79.99,Premium,CreditCard,4,290,2708.42,12,37.0,8,Australia,Mobile,175,false
HML9BT,12/21/2023,1/10/2024,29.99,Basic,CreditCard,34,333,1615.45,0,11.8,9,Germany,Mobile,168,false
6d9V32,10/6/2023,1/11/2024,59.99,Gold,CreditCard,20,926,4975.28,19,42.3,3,France,Mobile,49,true
7q6xMu,5/20/2024,5/10/2024,59.99,Gold,DebitCard,11,580,2277.38,20,21.5,8,USA,Desktop,123,false
yTg4jT,1/24/2024,9/13/2023,79.99,Premium,CreditCard,5,186,1929.16,16,17.1,4,China,Mobile,81,true
dNcj91,5/28/2024,7/4/2023,59.99,Gold,DebitCard,19,867,173.46,17,41.8,8,Canada,Mobile,99,true
gX2X6R,2/4/2024,1/12/2024,59.99,Gold,CreditCard,36,212,1615.11,19,28.6,4,Canada,Desktop,5,true
70lLuy,12/5/2023,5/31/2024,29.99,Basic,DebitCard,16,250,3232.17,10,35.8,5,UK,Mobile,37,false
gbJ2o8,4/25/2024,3/23/2024,79.99,Premium,UPI,9,947,3882.14,17,27.1,2,Japan,Mobile,31,false
TBydfL,6/8/2024,6/8/2024,29.99,Basic,UPI,27,729,4932.56,12,39.7,2,Japan,Mobile,65,true
29yx5x,12/14/2023,6/3/2024,59.99,Gold,DebitCard,10,759,2448.58,15,16.4,2,Canada,Mobile,160,true
6DUkb1,2/28/2024,2/7/2024,29.99,Basic,UPI,22,914,4798.26,8,42.2,2,USA,Desktop,133,true
5M54lR,10/29/2023,1/3/2024,29.99,Basic,UPI,26,993,834.78,18,16.8,8,UK,Mobile,149,false
4Az344,8/7/2023,6/13/2024,59.99,Gold,DebitCard,2,870,2330.84,11,28.2,7,Brazil,Desktop,7,false
di8YTw,2/11/2024,12/12/2023,79.99,Premium,UPI,3,863,1000.63,16,11.9,3,China,Mobile,83,true
12YS5d,9/23/2023,2/29/2024,29.99,Basic,DebitCard,25,864,2093.58,6,18.1,9,Australia,Mobile,95,true
K53syK,12/20/2023,9/17/2023,29.99,Basic,DebitCard,36,886,822.12,8,15.5,8,Germany,Mobile,114,false
5g1r7M,1/25/2024,4/3/2024,59.99,Gold,DebitCard,24,105,771.87,3,31.7,1,UK,Desktop,21,false
S71v58,6/23/2024,8/23/2023,29.99,Basic,DebitCard,28,237,4027.36,14,22.2,1,USA,Mobile,172,true
5SjD0Q,6/1/2024,10/15/2023,79.99,Premium,UPI,7,19,841.4,5,26.8,6,USA,Mobile,76,true
XMmxd7,7/17/2023,10/19/2023,29.99,Basic,CreditCard,9,47,2003.58,1,21.4,3,Taiwan,Tablet,154,false
cpfz85,3/28/2024,8/15/2023,29.99,Basic,UPI,14,450,2938.24,10,46.0,1,Australia,Mobile,65,false
4BEajw,3/29/2024,4/22/2024,59.99,Gold,CreditCard,25,214,4284.17,7,3.1,1,France,Tablet,67,true
C10gO4,8/30/2023,5/26/2024,79.99,Premium,UPI,6,670,4835.05,2,39.7,3,Canada,Mobile,193,false
tzBGtA,4/24/2024,1/21/2024,29.99,Basic,DebitCard,25,693,3079.25,13,12.8,2,Brazil,Tablet,165,false
